127.0.0.1 - - [26/Apr/2023:07:27:23 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:27:24 +0530] "GET /ExternalParams/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:27:38 +0530] "GET /ExternalParams/user HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:27:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:28:55 +0530] "GET /ExternalParams/user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:32:37 +0530] "GET /ExternalParams/user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:33:47 +0530] "GET /ExternalParams/user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:40:53 +0530] "GET /ExternalParams/user HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:43:56 +0530] "GET /ExternalParams/user HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:44:02 +0530] "POST /ExternalParams/user HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:48:33 +0530] "GET /ExternalParams/user HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [26/Apr/2023:07:48:41 +0530] "POST /ExternalParams/user HTTP/1.1" 200 -
